time_s,remaining_error,command_velocity,pass_through,state,planned_dir,planned_run_duration,real_velocity,position
1783297506.233899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.234899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.235899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.236899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.237899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.238899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.239899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.240899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.241899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.242899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.243899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.244899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.245899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.246899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.247899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.248899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.249899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.250899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.251899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.252899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.253899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.254899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.255899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
