time_s,remaining_error,command_velocity,pass_through,state,planned_dir,planned_run_duration,real_velocity,position,target_position
1783308923.850034,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.851035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.852035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.853034,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.854035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.855035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.856035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.857035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.858035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.859035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.860035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.861035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.862035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.863035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.864035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.865035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.866035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.867035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.868035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.869035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.870034,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.871035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.872035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.873035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.874035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.875035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.876035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.877035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.878035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.879035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.880035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.881035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.882035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.883035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.884035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.885035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.886034,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.887035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.888035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.889035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.890034,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
1783308923.891035,0.000157,0.000000,0,0,-1.000000,0.267979,0.000000,-0.000157,0.000000
